brawler_id,win_rate,usage_rate,standardized_winrate,standardized_usage_rate,composite_score,rank,class
JACKY,0.569,1.241,1.25,0.02,1.251,1.0,tank
BERRY,0.564,2.252,1.177,0.826,1.185,2.0,support
FRANK,0.562,3.752,1.155,2.022,1.175,3.0,tank
BUSTER,0.561,0.279,1.139,-0.748,1.132,4.0,tank
MEG,0.55,0.575,0.997,-0.512,0.992,5.0,tank
DOUG,0.55,0.368,0.994,-0.677,0.987,6.0,support
BIBI,0.546,2.357,0.939,0.909,0.948,7.0,tank
JESSIE,0.545,3.189,0.926,1.572,0.942,8.0,controller
SANDY,0.543,1.775,0.894,0.445,0.899,9.0,controller
NITA,0.538,2.04,0.833,0.657,0.839,10.0,damage_dealer
DRACO,0.537,0.8,0.813,-0.332,0.81,11.0,tank
SURGE,0.536,1.755,0.802,0.429,0.806,12.0,damage_dealer
GALE,0.536,1.061,0.798,-0.124,0.797,13.0,controller
LILY,0.535,1.219,0.793,0.002,0.793,14.0,assassin
EVE,0.534,0.161,0.781,-0.842,0.772,15.0,damage_dealer
CHESTER,0.532,0.76,0.753,-0.364,0.749,16.0,damage_dealer
CHUCK,0.529,0.267,0.712,-0.757,0.705,17.0,damage_dealer
MICO,0.527,0.688,0.686,-0.422,0.682,18.0,assassin
LARRY & LAWRIE,0.519,0.944,0.574,-0.218,0.572,19.0,thrower
CROW,0.517,2.697,0.538,1.18,0.55,20.0,assassin
TICK,0.513,1.485,0.495,0.214,0.497,21.0,thrower
FANG,0.511,1.816,0.466,0.478,0.471,22.0,assassin
CORDELIUS,0.508,0.887,0.428,-0.263,0.425,25.0,assassin
COLETTE,0.508,1.722,0.426,0.403,0.43,24.0,damage_dealer
EDGAR,0.507,6.088,0.406,3.884,0.445,23.0,assassin
ANGELO,0.507,0.865,0.405,-0.281,0.402,26.0,sniper
R-T,0.506,0.165,0.396,-0.838,0.388,27.0,damage_dealer
MANDY,0.505,0.733,0.382,-0.385,0.378,28.0,sniper
BUZZ,0.502,2.716,0.347,1.195,0.359,29.0,assassin
RICO,0.501,2.975,0.33,1.402,0.344,32.0,damage_dealer
LEON,0.501,4.012,0.328,2.229,0.35,30.0,assassin
KIT,0.501,0.563,0.322,-0.521,0.317,34.0,support
BO,0.5,1.373,0.316,0.125,0.317,33.0,controller
DYNAMIKE,0.5,5.615,0.312,3.507,0.347,31.0,thrower
MR. P,0.497,0.301,0.279,-0.73,0.271,35.0,controller
PEARL,0.493,0.437,0.218,-0.622,0.211,38.0,damage_dealer
PIPER,0.493,2.695,0.216,1.178,0.228,36.0,sniper
BELLE,0.493,0.679,0.216,-0.429,0.212,37.0,sniper
TARA,0.491,0.613,0.195,-0.481,0.19,39.0,damage_dealer
GROM,0.487,0.529,0.144,-0.548,0.139,40.0,thrower
MELODIE,0.486,0.89,0.122,-0.26,0.12,41.0,assassin
LOU,0.485,0.367,0.112,-0.677,0.106,44.0,controller
EMZ,0.485,2.497,0.105,1.021,0.115,42.0,controller
BROCK,0.484,2.748,0.097,1.221,0.11,43.0,sniper
CHARLIE,0.484,0.266,0.097,-0.758,0.089,45.0,controller
EL PRIMO,0.481,2.348,0.061,0.902,0.07,47.0,tank
SPIKE,0.481,3.509,0.057,1.828,0.075,46.0,damage_dealer
BYRON,0.481,0.689,0.055,-0.421,0.051,49.0,support
AMBER,0.481,0.487,0.052,-0.582,0.047,50.0,controller
GRAY,0.481,0.383,0.05,-0.665,0.043,51.0,support
COLT,0.479,4.369,0.027,2.513,0.052,48.0,damage_dealer
SHELLY,0.472,1.641,-0.067,0.338,-0.063,52.0,damage_dealer
MORTIS,0.471,1.621,-0.073,0.322,-0.07,53.0,assassin
MAISIE,0.47,0.388,-0.092,-0.661,-0.099,54.0,sniper
GRIFF,0.468,0.834,-0.126,-0.305,-0.129,55.0,controller
BULL,0.466,0.772,-0.141,-0.355,-0.144,56.0,tank
GENE,0.465,0.675,-0.165,-0.432,-0.169,57.0,controller
SPROUT,0.464,0.363,-0.174,-0.68,-0.181,58.0,thrower
OTIS,0.462,0.154,-0.199,-0.847,-0.207,59.0,controller
WILLOW,0.46,0.244,-0.232,-0.775,-0.24,60.0,controller
MAX,0.456,1.131,-0.281,-0.068,-0.282,61.0,support
NANI,0.454,0.725,-0.317,-0.392,-0.321,62.0,sniper
SQUEAK,0.451,0.479,-0.347,-0.588,-0.353,63.0,controller
POCO,0.449,0.796,-0.372,-0.335,-0.376,64.0,support
JANET,0.444,0.102,-0.45,-0.889,-0.459,65.0,sniper
SAM,0.443,0.21,-0.465,-0.803,-0.473,66.0,assassin
ASH,0.433,0.188,-0.6,-0.82,-0.608,67.0,tank
RUFFS,0.43,0.108,-0.641,-0.884,-0.65,68.0,support
DARRYL,0.429,0.924,-0.654,-0.233,-0.656,69.0,tank
ROSA,0.423,0.448,-0.725,-0.613,-0.731,70.0,tank
STU,0.423,0.632,-0.729,-0.466,-0.734,71.0,assassin
CARL,0.422,0.453,-0.75,-0.609,-0.756,72.0,damage_dealer
8-BIT,0.42,0.829,-0.768,-0.309,-0.771,73.0,damage_dealer
BONNIE,0.418,0.313,-0.799,-0.721,-0.806,74.0,sniper
BARLEY,0.416,0.701,-0.827,-0.411,-0.831,75.0,thrower
BEA,0.41,0.482,-0.908,-0.586,-0.914,76.0,sniper
PENNY,0.409,0.644,-0.927,-0.457,-0.932,77.0,controller
LOLA,0.398,0.201,-1.064,-0.81,-1.072,78.0,damage_dealer
HANK,0.385,0.212,-1.24,-0.801,-1.248,79.0,tank
GUS,0.357,0.289,-1.632,-0.74,-1.64,80.0,support
PAM,0.272,0.21,-2.778,-0.803,-2.786,81.0,support
SPIKE ,0.0,0.0,-6.472,-0.97,-6.482,82.0,
