brawler_id,win_rate,usage_rate,standardized_winrate,standardized_usage_rate,composite_score,rank,class
BERRY,0.598,3.359,2.191,2.044,2.212,1.0,support
MEG,0.591,0.82,2.061,-0.399,2.057,2.0,tank
FRANK,0.567,3.255,1.604,1.943,1.623,3.0,tank
DRACO,0.564,0.934,1.54,-0.289,1.537,4.0,tank
SANDY,0.561,1.862,1.485,0.604,1.491,5.0,controller
BUSTER,0.55,0.339,1.286,-0.861,1.278,6.0,tank
CHESTER,0.548,0.889,1.238,-0.333,1.235,8.0,damage_dealer
LILY,0.548,1.381,1.236,0.141,1.238,7.0,assassin
JACKY,0.543,1.073,1.142,-0.156,1.141,10.0,tank
JESSIE,0.543,2.964,1.142,1.664,1.159,9.0,controller
GALE,0.54,1.203,1.096,-0.03,1.096,12.0,controller
SURGE,0.54,1.541,1.093,0.295,1.096,11.0,damage_dealer
BIBI,0.532,1.96,0.95,0.698,0.957,13.0,tank
MICO,0.525,0.661,0.803,-0.551,0.798,14.0,assassin
CROW,0.52,2.535,0.715,1.251,0.728,15.0,assassin
MELODIE,0.519,1.64,0.696,0.39,0.7,16.0,assassin
FANG,0.519,2.079,0.69,0.812,0.698,17.0,assassin
DOUG,0.518,0.339,0.679,-0.862,0.67,19.0,support
NITA,0.518,1.8,0.673,0.544,0.678,18.0,damage_dealer
CHUCK,0.514,0.356,0.604,-0.845,0.595,20.0,damage_dealer
LEON,0.512,3.265,0.568,1.953,0.587,21.0,assassin
EVE,0.512,0.214,0.554,-0.982,0.545,23.0,damage_dealer
CORDELIUS,0.511,0.827,0.55,-0.392,0.546,22.0,assassin
LARRY & LAWRIE,0.51,0.886,0.532,-0.335,0.528,25.0,thrower
COLETTE,0.51,1.821,0.531,0.564,0.537,24.0,damage_dealer
BUZZ,0.509,2.131,0.499,0.862,0.507,26.0,assassin
EDGAR,0.507,4.253,0.472,2.904,0.501,27.0,assassin
ANGELO,0.506,1.095,0.439,-0.134,0.438,28.0,sniper
R-T,0.503,0.224,0.394,-0.972,0.384,29.0,damage_dealer
BO,0.501,1.362,0.354,0.122,0.355,31.0,controller
RICO,0.501,2.791,0.348,1.497,0.363,30.0,damage_dealer
KIT,0.5,0.61,0.329,-0.601,0.323,32.0,support
EMZ,0.498,2.356,0.296,1.079,0.306,33.0,controller
BELLE,0.497,0.902,0.271,-0.32,0.268,34.0,sniper
MANDY,0.497,0.968,0.267,-0.257,0.265,35.0,sniper
AMBER,0.495,0.579,0.241,-0.631,0.234,38.0,controller
TICK,0.495,1.495,0.237,0.25,0.239,36.0,thrower
LOU,0.495,0.465,0.236,-0.741,0.228,39.0,controller
SPIKE,0.494,2.941,0.221,1.642,0.237,37.0,damage_dealer
DYNAMIKE,0.492,4.077,0.18,2.735,0.207,40.0,thrower
PIPER,0.49,3.445,0.149,2.126,0.17,41.0,sniper
PEARL,0.489,0.498,0.126,-0.708,0.119,42.0,damage_dealer
CHARLIE,0.487,0.339,0.091,-0.862,0.082,43.0,controller
TARA,0.486,0.659,0.066,-0.554,0.061,44.0,damage_dealer
GRAY,0.485,0.576,0.056,-0.634,0.049,45.0,support
MORTIS,0.484,1.917,0.026,0.657,0.033,46.0,assassin
BYRON,0.483,1.056,0.014,-0.171,0.012,47.0,support
MR. P,0.481,0.367,-0.019,-0.835,-0.028,49.0,controller
COLT,0.481,4.225,-0.022,2.878,0.007,48.0,damage_dealer
MAX,0.478,1.331,-0.084,0.092,-0.083,50.0,support
MAISIE,0.474,0.486,-0.156,-0.72,-0.163,52.0,sniper
BROCK,0.473,2.732,-0.172,1.441,-0.157,51.0,sniper
OTIS,0.473,0.217,-0.182,-0.979,-0.192,53.0,controller
GRIFF,0.468,0.882,-0.272,-0.339,-0.276,54.0,controller
GENE,0.466,0.818,-0.308,-0.4,-0.312,55.0,controller
EL PRIMO,0.462,1.821,-0.384,0.564,-0.379,56.0,tank
SQUEAK,0.461,0.557,-0.414,-0.652,-0.42,57.0,controller
NANI,0.457,0.882,-0.475,-0.34,-0.478,58.0,sniper
POCO,0.454,1.089,-0.539,-0.14,-0.54,59.0,support
GROM,0.45,0.556,-0.609,-0.653,-0.616,60.0,thrower
SHELLY,0.447,1.308,-0.665,0.07,-0.664,61.0,damage_dealer
JANET,0.445,0.161,-0.716,-1.033,-0.727,62.0,sniper
SPROUT,0.443,0.386,-0.74,-0.816,-0.749,63.0,thrower
RUFFS,0.443,0.164,-0.758,-1.03,-0.768,64.0,support
8-BIT,0.44,0.877,-0.816,-0.344,-0.819,65.0,damage_dealer
BEA,0.439,0.762,-0.821,-0.455,-0.825,66.0,sniper
SAM,0.436,0.29,-0.88,-0.909,-0.889,67.0,assassin
STU,0.436,0.855,-0.887,-0.365,-0.89,68.0,assassin
DARRYL,0.432,0.814,-0.952,-0.405,-0.956,69.0,tank
WILLOW,0.427,0.267,-1.054,-0.931,-1.063,70.0,controller
BONNIE,0.427,0.469,-1.06,-0.736,-1.068,71.0,sniper
LOLA,0.424,0.298,-1.111,-0.901,-1.12,72.0,damage_dealer
CARL,0.42,0.623,-1.192,-0.588,-1.198,73.0,damage_dealer
PENNY,0.417,0.706,-1.243,-0.509,-1.248,74.0,controller
ASH,0.414,0.242,-1.307,-0.955,-1.316,75.0,tank
BULL,0.401,0.697,-1.545,-0.517,-1.55,76.0,tank
GUS,0.389,0.459,-1.772,-0.746,-1.779,77.0,support
BARLEY,0.386,0.789,-1.835,-0.428,-1.84,78.0,thrower
ROSA,0.383,0.534,-1.882,-0.674,-1.888,79.0,tank
HANK,0.331,0.257,-2.884,-0.941,-2.893,80.0,tank
PAM,0.313,0.34,-3.213,-0.861,-3.222,81.0,support
