brawler_id,win_rate,usage_rate,standardized_winrate,standardized_usage_rate,composite_score,rank,class
HANK,0.619,0.001,2.391,-0.925,2.382,1.0,tank
ROSA,0.609,0.003,2.183,-0.708,2.176,2.0,tank
JACKY,0.606,0.015,2.126,0.232,2.129,3.0,tank
BUSTER,0.593,0.004,1.86,-0.696,1.853,4.0,tank
GROM,0.591,0.005,1.832,-0.562,1.826,5.0,thrower
MR. P,0.572,0.003,1.448,-0.707,1.441,6.0,controller
SURGE,0.566,0.025,1.325,1.024,1.335,7.0,damage_dealer
MEG,0.563,0.01,1.273,-0.16,1.272,8.0,tank
DOUG,0.561,0.003,1.233,-0.755,1.226,9.0,support
NITA,0.557,0.025,1.151,1.041,1.161,10.0,damage_dealer
FRANK,0.556,0.021,1.131,0.713,1.138,11.0,tank
MICO,0.555,0.009,1.112,-0.267,1.109,12.0,assassin
EVE,0.548,0.002,0.96,-0.829,0.952,13.0,damage_dealer
CHESTER,0.543,0.01,0.859,-0.18,0.857,14.0,damage_dealer
GRIFF,0.541,0.01,0.818,-0.172,0.816,15.0,controller
DRACO,0.539,0.006,0.792,-0.463,0.787,16.0,tank
BYRON,0.538,0.009,0.764,-0.288,0.761,17.0,support
CHUCK,0.535,0.003,0.703,-0.717,0.696,18.0,damage_dealer
BIBI,0.533,0.023,0.666,0.863,0.675,19.0,tank
PEARL,0.531,0.004,0.63,-0.624,0.624,20.0,damage_dealer
BONNIE,0.528,0.001,0.564,-0.863,0.555,21.0,sniper
MORTIS,0.527,0.007,0.543,-0.396,0.539,22.0,assassin
ASH,0.526,0.001,0.528,-0.93,0.519,24.0,tank
EDGAR,0.525,0.04,0.499,2.199,0.521,23.0,assassin
BEA,0.524,0.003,0.487,-0.709,0.48,25.0,sniper
TARA,0.524,0.005,0.485,-0.599,0.479,26.0,damage_dealer
PAM,0.524,0.0,0.478,-0.953,0.468,27.0,support
JESSIE,0.52,0.039,0.41,2.142,0.432,28.0,controller
TICK,0.52,0.015,0.409,0.216,0.411,29.0,thrower
CARL,0.516,0.003,0.314,-0.728,0.306,30.0,damage_dealer
BULL,0.51,0.006,0.209,-0.475,0.204,31.0,tank
ANGELO,0.51,0.011,0.198,-0.113,0.197,32.0,sniper
SANDY,0.507,0.026,0.148,1.076,0.158,33.0,controller
LARRY & LAWRIE,0.506,0.011,0.125,-0.138,0.124,34.0,thrower
POCO,0.505,0.006,0.103,-0.467,0.098,35.0,support
GRAY,0.504,0.004,0.087,-0.678,0.08,36.0,support
MANDY,0.503,0.008,0.064,-0.363,0.06,38.0,sniper
GALE,0.503,0.017,0.05,0.334,0.053,39.0,controller
CROW,0.502,0.038,0.048,2.037,0.068,37.0,assassin
JANET,0.5,0.0,-0.0,-0.943,-0.01,43.0,sniper
BO,0.5,0.018,-0.0,0.438,0.004,40.0,controller
SAM,0.5,0.001,-0.0,-0.914,-0.009,42.0,assassin
BROCK,0.499,0.034,-0.015,1.742,0.003,41.0,sniper
FANG,0.499,0.021,-0.024,0.718,-0.016,44.0,assassin
EL PRIMO,0.496,0.017,-0.077,0.399,-0.073,45.0,tank
SPROUT,0.494,0.004,-0.126,-0.666,-0.133,47.0,thrower
EMZ,0.493,0.025,-0.135,0.988,-0.125,46.0,controller
KIT,0.493,0.006,-0.145,-0.524,-0.15,48.0,support
BERRY,0.49,0.011,-0.206,-0.083,-0.207,49.0,support
SHELLY,0.489,0.015,-0.219,0.228,-0.217,50.0,damage_dealer
LEON,0.485,0.049,-0.308,2.929,-0.279,51.0,assassin
BUZZ,0.484,0.028,-0.327,1.242,-0.315,52.0,assassin
LILY,0.483,0.013,-0.335,0.087,-0.334,53.0,assassin
RICO,0.48,0.033,-0.401,1.624,-0.385,54.0,damage_dealer
BELLE,0.48,0.009,-0.408,-0.234,-0.41,55.0,sniper
COLETTE,0.479,0.023,-0.427,0.878,-0.418,56.0,damage_dealer
BARLEY,0.478,0.005,-0.442,-0.562,-0.448,57.0,thrower
8-BIT,0.476,0.005,-0.492,-0.604,-0.498,58.0,damage_dealer
STU,0.475,0.004,-0.512,-0.645,-0.519,59.0,assassin
MELODIE,0.47,0.008,-0.613,-0.333,-0.616,60.0,assassin
LOU,0.468,0.005,-0.64,-0.567,-0.646,61.0,controller
DYNAMIKE,0.465,0.04,-0.701,2.171,-0.679,62.0,thrower
PIPER,0.464,0.022,-0.733,0.788,-0.725,63.0,sniper
SPIKE,0.462,0.047,-0.757,2.791,-0.729,64.0,damage_dealer
GENE,0.461,0.008,-0.776,-0.367,-0.78,65.0,controller
CORDELIUS,0.46,0.012,-0.796,0.0,-0.796,66.0,assassin
GUS,0.457,0.002,-0.855,-0.857,-0.864,68.0,support
COLT,0.457,0.048,-0.87,2.817,-0.842,67.0,damage_dealer
MAISIE,0.455,0.003,-0.903,-0.746,-0.91,69.0,sniper
OTIS,0.455,0.001,-0.913,-0.893,-0.922,70.0,controller
PENNY,0.454,0.003,-0.922,-0.708,-0.929,71.0,controller
AMBER,0.454,0.008,-0.929,-0.383,-0.933,72.0,controller
R-T,0.447,0.001,-1.064,-0.868,-1.072,73.0,damage_dealer
