brawler_id,win_rate,usage_rate,standardized_winrate,standardized_usage_rate,composite_score,rank,class
Hank,0.619,0.001,2.391,-0.925,2.382,1.0,tank
Rosa,0.609,0.003,2.183,-0.708,2.176,2.0,tank
Jacky,0.606,0.015,2.126,0.232,2.129,3.0,tank
Buster,0.593,0.004,1.86,-0.696,1.853,4.0,tank
Grom,0.591,0.005,1.832,-0.562,1.826,5.0,thrower
Mr. p,0.572,0.003,1.448,-0.707,1.441,6.0,controller
Surge,0.566,0.025,1.325,1.024,1.335,7.0,damage_dealer
Meg,0.563,0.01,1.273,-0.16,1.272,8.0,tank
Doug,0.561,0.003,1.233,-0.755,1.226,9.0,support
Nita,0.557,0.025,1.151,1.041,1.161,10.0,damage_dealer
Frank,0.556,0.021,1.131,0.713,1.138,11.0,tank
Mico,0.555,0.009,1.112,-0.267,1.109,12.0,assassin
Eve,0.548,0.002,0.96,-0.829,0.952,13.0,damage_dealer
Chester,0.543,0.01,0.859,-0.18,0.857,14.0,damage_dealer
Griff,0.541,0.01,0.818,-0.172,0.816,15.0,controller
Draco,0.539,0.006,0.792,-0.463,0.787,16.0,tank
Byron,0.538,0.009,0.764,-0.288,0.761,17.0,support
Chuck,0.535,0.003,0.703,-0.717,0.696,18.0,damage_dealer
Bibi,0.533,0.023,0.666,0.863,0.675,19.0,tank
Pearl,0.531,0.004,0.63,-0.624,0.624,20.0,damage_dealer
Bonnie,0.528,0.001,0.564,-0.863,0.555,21.0,sniper
Mortis,0.527,0.007,0.543,-0.396,0.539,22.0,assassin
Ash,0.526,0.001,0.528,-0.93,0.519,24.0,tank
Edgar,0.525,0.04,0.499,2.199,0.521,23.0,assassin
Bea,0.524,0.003,0.487,-0.709,0.48,25.0,sniper
Tara,0.524,0.005,0.485,-0.599,0.479,26.0,damage_dealer
Pam,0.524,0.0,0.478,-0.953,0.468,27.0,support
Jessie,0.52,0.039,0.41,2.142,0.432,28.0,controller
Tick,0.52,0.015,0.409,0.216,0.411,29.0,thrower
Carl,0.516,0.003,0.314,-0.728,0.306,30.0,damage_dealer
Bull,0.51,0.006,0.209,-0.475,0.204,31.0,tank
Angelo,0.51,0.011,0.198,-0.113,0.197,32.0,sniper
Sandy,0.507,0.026,0.148,1.076,0.158,33.0,controller
Larry & Lawrie,0.506,0.011,0.125,-0.138,0.124,34.0,thrower
Poco,0.505,0.006,0.103,-0.467,0.098,35.0,support
Gray,0.504,0.004,0.087,-0.678,0.08,36.0,support
Mandy,0.503,0.008,0.064,-0.363,0.06,38.0,sniper
Gale,0.503,0.017,0.05,0.334,0.053,39.0,controller
Crow,0.502,0.038,0.048,2.037,0.068,37.0,assassin
Janet,0.5,0.0,-0.0,-0.943,-0.01,43.0,sniper
Bo,0.5,0.018,-0.0,0.438,0.004,40.0,controller
Sam,0.5,0.001,-0.0,-0.914,-0.009,42.0,assassin
Brock,0.499,0.034,-0.015,1.742,0.003,41.0,sniper
Fang,0.499,0.021,-0.024,0.718,-0.016,44.0,assassin
El primo,0.496,0.017,-0.077,0.399,-0.073,45.0,tank
Sprout,0.494,0.004,-0.126,-0.666,-0.133,47.0,thrower
Emz,0.493,0.025,-0.135,0.988,-0.125,46.0,controller
Kit,0.493,0.006,-0.145,-0.524,-0.15,48.0,support
Berry,0.49,0.011,-0.206,-0.083,-0.207,49.0,support
Shelly,0.489,0.015,-0.219,0.228,-0.217,50.0,damage_dealer
Leon,0.485,0.049,-0.308,2.929,-0.279,51.0,assassin
Buzz,0.484,0.028,-0.327,1.242,-0.315,52.0,assassin
Lily,0.483,0.013,-0.335,0.087,-0.334,53.0,assassin
Rico,0.48,0.033,-0.401,1.624,-0.385,54.0,damage_dealer
Belle,0.48,0.009,-0.408,-0.234,-0.41,55.0,sniper
Colette,0.479,0.023,-0.427,0.878,-0.418,56.0,damage_dealer
Barley,0.478,0.005,-0.442,-0.562,-0.448,57.0,thrower
8-Bit,0.476,0.005,-0.492,-0.604,-0.498,58.0,damage_dealer
Stu,0.475,0.004,-0.512,-0.645,-0.519,59.0,assassin
Melodie,0.47,0.008,-0.613,-0.333,-0.616,60.0,assassin
Lou,0.468,0.005,-0.64,-0.567,-0.646,61.0,controller
Dynamike,0.465,0.04,-0.701,2.171,-0.679,62.0,thrower
Piper,0.464,0.022,-0.733,0.788,-0.725,63.0,sniper
Spike,0.462,0.047,-0.757,2.791,-0.729,64.0,damage_dealer
Gene,0.461,0.008,-0.776,-0.367,-0.78,65.0,controller
Cordelius,0.46,0.012,-0.796,0.0,-0.796,66.0,assassin
Gus,0.457,0.002,-0.855,-0.857,-0.864,68.0,support
Colt,0.457,0.048,-0.87,2.817,-0.842,67.0,damage_dealer
Maisie,0.455,0.003,-0.903,-0.746,-0.91,69.0,sniper
Otis,0.455,0.001,-0.913,-0.893,-0.922,70.0,controller
Penny,0.454,0.003,-0.922,-0.708,-0.929,71.0,controller
Amber,0.454,0.008,-0.929,-0.383,-0.933,72.0,controller
R-T,0.447,0.001,-1.064,-0.868,-1.072,73.0,damage_dealer
Nani,0.446,0.008,-1.076,-0.329,-1.079,74.0,sniper
